,EventDTW,EventDTW,EventDTW,DTW,DTW,DTW,shapeDTW,shapeDTW,shapeDTW,dDTW,dDTW,dDTW
,error rate,SS1,SS2,error rate,SS1,SS2,error rate,SS1,SS2,error rate,SS1,SS2
50words_TRAIN,0.010203911776945485,0.9155555555555556,5.5828888888888875,0.010882230545151896,0.9214814814814816,5.86041975308642,0.028368705784436125,2.5200000000000005,13.567407407407408,0.10329171868497712,3.083703703703704,30.412587173785237
Adiac_TRAIN,0.004537205081669691,0.6091954022988505,0.8666666666666668,0.0045472877596289575,0.6229885057471265,0.9011494252873564,0.07159709618874774,3.0804597701149423,21.577011494252872,0.11577939100625124,3.7034482758620695,50.77976692209451
ArrowHead_TRAIN,0.014834949554314822,1.1967871485943775,11.3366003697329,0.013953374473503772,1.107630522088353,11.114024351373752,0.04439710059751199,2.886746987951807,20.522088353413654,0.08610049955921248,3.6008032128514054,43.67267199110573
Beef_TRAIN,0.008789633305762339,1.1435897435897433,9.790831976665313,0.009681555004135648,1.1653846153846152,11.14828561789088,0.020515577612351805,2.7636752136752136,22.331617826617823,0.11477667493796527,3.401282051282051,65.0677497810831
BeetleFly_TRAIN,0.0023332173105928763,0.6278431372549019,1.4455882352941176,0.0023622229957071584,0.6345098039215686,1.537941176470588,0.01924469195962409,2.8988235294117652,18.75137254901961,0.09659357234017868,3.7164705882352944,61.22292781183957
BirdChicken_TRAIN,0.006504234830026685,0.9470588235294118,4.813335511982571,0.0055250029005685115,0.8403921568627452,3.9078779956427017,0.03164868314189581,3.2509803921568627,40.24,0.08802065204780138,3.908235294117648,83.18522003076896
Car_TRAIN,0.006838096276905178,0.8597222222222223,5.654082629369088,0.006722658522396743,0.8249999999999998,5.026461442005252,0.04430264688772542,3.496180555555555,83.4170138888889,0.11472058609656778,4.092013888888888,123.06904873784134
CBF_TRAIN,0.026674409601238864,1.7507936507936512,6.291798941798942,0.026674409601238864,1.7507936507936512,6.291798941798942,0.09856755710414247,3.1777777777777785,38.93968253968253,0.07233836624080525,2.4984126984127,15.214814814814813
ChlorineConcentration_TRAIN,0.013164983164983164,1.4133333333333336,3.9655555555555564,0.013142536475869809,1.4084848484848491,3.931616161616161,0.0955892255892256,2.987878787878788,36.77212121212121,0.16021324354657687,3.0569696969696967,39.51030303030304
Coffee_TRAIN,0.006084359835759611,1.0947368421052632,4.246942355889724,0.00585666293393057,1.072982456140351,4.17220551378446,0.02272116461366181,2.6,12.22526315789474,0.21196715192235907,3.5803508771929824,71.22987478798005
Computers_TRAIN,0.13531322640632262,3.610555555555555,267.08201820842936,0.13531322640632262,3.610555555555555,267.08201820842936,0.16427185030218502,3.633611111111111,306.2588452206474,0.12962284983728498,3.468611111111111,218.97406128747792
CinC_ECG_torso_TRAIN,0.00485230365964311,1.3117216117216122,7.797959995216782,0.007242105498986231,1.319047619047619,9.029676673864554,0.05656080922135968,3.5054945054945046,243.3683684182186,0.03340838570196369,3.1302808302808303,48.742210238321974
Cricket_X_TRAIN,0.008629629629629631,1.3193333333333337,4.784566666666667,0.008585858585858587,1.318,4.772566666666667,0.032168350168350165,2.6693333333333333,18.998666666666672,0.09070707070707072,3.0039999999999996,44.27272301587302
Cricket_Y_TRAIN,0.014377104377104375,1.4353333333333331,6.838956332556336,0.0141986531986532,1.4126666666666663,6.737622999223003,0.03591582491582492,2.7333333333333334,21.348000000000006,0.1242020202020202,3.032666666666666,48.45893042328044
Cricket_Z_TRAIN,0.016023569023569027,1.4466666666666668,5.6445531986532,0.015969696969696967,1.4466666666666668,5.6605531986532,0.045565656565656566,2.8486666666666665,32.701,0.09789225589225588,2.9620000000000006,47.76145079365079
DiatomSizeReduction_TRAIN,0.006953979150775488,0.7855072463768116,3.9045603864734297,0.004073226544622425,0.6115942028985507,0.9956231884057972,0.0726926010678871,3.530434782608696,65.67072463768116,0.12123569794050346,3.8324637681159417,67.51872911609965
DistalPhalanxOutlineAgeGroup_TRAIN,0.012205128205128209,1.1487179487179484,3.425641025641025,0.010512820512820507,1.1487179487179484,3.4871794871794872,0.07292307692307691,2.2461538461538457,7.112820512820513,0.2663076923076923,3.0743589743589737,24.85641025641025
DistalPhalanxOutlineCorrect_TRAIN,0.013948717948717949,1.2358974358974355,3.805128205128205,0.011487179487179486,1.2435897435897434,3.911538461538461,0.07441025641025642,2.2769230769230764,7.2666666666666675,0.2124102564102564,3.17948717948718,27.95213675213675
DistalPhalanxTW_TRAIN,0.04333333333333333,1.5948717948717943,7.728205128205127,0.04184615384615385,1.6051282051282043,7.728205128205127,0.09461538461538464,2.3589743589743586,8.523076923076923,0.20133333333333334,3.2948717948717943,30.441880341880346
Earthquakes_TRAIN,0.09072978303747536,3.3235294117647056,62.455094460006215,0.09072978303747536,3.3235294117647056,62.455094460006215,0.19684186100475687,3.454117647058823,139.0679272368545,0.10753683722009512,3.4874509803921567,93.92660619535809
ECG200_TRAIN,0.018918010752688168,1.3729166666666666,3.534375,0.01915322580645161,1.3854166666666667,3.580208333333333,0.053393817204301065,2.55,11.383333333333333,0.2571572580645161,2.933333333333333,29.41248263888889
ECG5000_TRAIN,0.018164251207729472,1.4782608695652175,4.4372463768115935,0.017681159420289857,1.446376811594203,4.222753623188407,0.05244766505636072,2.6376811594202896,15.79710144927536,0.21925925925925924,3.365217391304348,68.24316597653555
ECGFiveDays_TRAIN,0.012542087542087544,1.3555555555555552,3.826666666666666,0.01272727272727273,1.3644444444444446,3.90074074074074,0.03867003367003368,2.515555555555556,10.969629629629626,0.07318181818181818,2.8103703703703697,23.84203880070547
